pt,ep,n,succ,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
0,31,32,0.9375,15.0,0.11151297553442419,0.21587803680449724,0.052873943583108485,0.029277753201313317,0.023741550601039253,0.12333019194193184,134.4296875,148.58896255493164
1,63,64,0.953125,15.0,0.11835821426939219,0.2003546899650246,0.045425960201555426,0.026930285297567025,0.022322172031306823,0.1233485221164301,134.90625,165.53056144714355
2,95,96,0.96875,15.0,0.11907955181474487,0.1955102039501071,0.04071774080784962,0.02579857127663369,0.02138861579340776,0.12291214739282925,135.02604166666666,174.1300663948059
3,127,128,0.9765625,15.0,0.12087025813525543,0.18949073425028473,0.03755319414108271,0.024979164270916954,0.02061546011164197,0.12262561183888465,135.341796875,181.40291464328766
4,159,128,0.9921875,15.0,0.12652963999425992,0.1783727848669514,0.03343728231834575,0.02311624448338989,0.019130628272325107,0.12230294203618541,136.291015625,193.73911315202713
5,191,128,1.0,15.0,0.1284911446273327,0.17221032187808305,0.031120274848944973,0.022204697990673594,0.018212032592524196,0.12189119990216568,137.10546875,201.68663030862808
6,223,128,1.0,15.0,0.1336099966429174,0.1638664222555235,0.032825238100485876,0.021698015538277104,0.01734393646089686,0.12167647259775549,137.640625,208.26829248666763
7,255,128,1.0,15.0,0.13737809064332396,0.1590794920339249,0.031614169409294846,0.02120591858692933,0.016676101895454307,0.12115572270704433,138.037109375,214.14608472585678
8,287,128,1.0,15.0,0.13777240610215813,0.15436091227456927,0.02871837232305552,0.021118443430168554,0.015935138426028006,0.12086784897837788,137.80859375,221.24388718605042
9,319,128,1.0,15.0,0.13832710293354467,0.15177452116040513,0.028216934791998938,0.021163610203075223,0.015191531578430732,0.12032212800113484,137.373046875,224.90345525741577
10,351,128,1.0,15.0,0.1394189827842638,0.14919954858487472,0.024254922771433485,0.020816477452171966,0.014989182301433137,0.11986332951346412,137.212890625,229.93647611141205
11,383,128,1.0,15.0,0.1406249727588147,0.1469626585021615,0.024776038382697152,0.020609395811334252,0.014921324997693594,0.1196855059824884,137.015625,232.21534061431885
12,415,128,1.0,15.0,0.1433217134908773,0.1418892525252886,0.02317020797272562,0.019899483828339726,0.014726262184139742,0.11892924533458427,137.19921875,238.78739488124847
13,447,128,1.0,15.0,0.14662876090733334,0.1374714498524554,0.022433229507441865,0.019503141797031276,0.014486035427242566,0.11830479669151828,137.251953125,244.42273199558258
14,479,128,1.0,15.0,0.14736122032627463,0.13391681457869709,0.02350676633795956,0.01929704197391402,0.014175240745933265,0.11773474997607991,137.423828125,248.12648952007294
15,511,128,1.0,15.0,0.14979063422651961,0.12806477292906493,0.02347903479494562,0.01892742839845596,0.01374550384936482,0.11726148950401694,137.572265625,255.03415310382843
16,543,128,1.0,15.0,0.1532880591112189,0.12300245644291863,0.02397346454563376,0.01866265070566442,0.013593107293504918,0.11712591047398746,137.736328125,260.2688136100769
17,575,128,1.0,15.0,0.1540642473846674,0.11811970878625289,0.02395700775559817,0.018342274095630273,0.013964357482498396,0.11685197468614206,137.658203125,266.0625717639923
18,607,128,1.0,15.0,0.15580758248688653,0.11240716965403408,0.023466306723321395,0.017731312109390274,0.013760399858618003,0.11636700405506417,138.001953125,273.9861170053482
19,639,128,1.0,15.0,0.15804311668034643,0.10993656882783398,0.02315707495949937,0.017081211233744398,0.013456614843181846,0.11611462524160743,138.84375,278.27879536151886
20,671,128,1.0,15.0,0.15675118996296078,0.10787464521126822,0.02658213413383237,0.016954416903899983,0.013365782820374853,0.11577499646227807,139.1015625,280.0347400903702
21,671,128,1.0,15.0,0.15675118996296078,0.10787464521126822,0.02658213413383237,0.016954416903899983,0.013365782820374853,0.11577499646227807,139.1015625,280.0347400903702
22,703,128,1.0,15.0,0.1581881566089578,0.1050508446060121,0.02814632178683496,0.01645587803068338,0.012920686444675568,0.11559663951629773,139.896484375,282.54913210868835
23,735,128,1.0,15.0,0.16203569271601737,0.10373769234865904,0.02817384134027634,0.01611272407899378,0.012591217795021425,0.11546665843343362,140.62890625,284.5310858488083
24,767,128,1.0,15.0,0.1652411068789661,0.10040884121553972,0.028504024535095596,0.01577369312144583,0.01226206179950641,0.11524097254732624,140.9921875,287.9355969429016
25,799,128,1.0,15.0,0.1704989518621005,0.09798143722582608,0.026317197399066572,0.015055841082357801,0.01180241939541262,0.11445166496559978,141.69921875,291.92736077308655
26,831,128,1.0,15.0,0.1731633326271549,0.0961012754123658,0.02334048017519308,0.014439427461184096,0.011180543643726809,0.113858547876589,142.337890625,296.63369834423065
27,863,128,1.0,15.0,0.17441183514893055,0.09509473788784817,0.022239720916559236,0.013920735822466668,0.01073156259380799,0.1131732928333804,142.748046875,298.9469794034958
28,895,128,1.0,15.0,0.17301717802183703,0.09443886566441506,0.023209286577412058,0.013708334270631894,0.010417643549875948,0.11247696046484634,142.986328125,301.1436061859131
